Species,Banding Code,Count
FULVOUS WHISTLING-DUCK,FUWD,1
EMPEROR GOOSE,EMGO,22
TAIGA BEAN-GOOSE,TABG,1
WHOOPER SWAN,WHOS,4
BAIKAL TEAL,BATE,4
GARGANEY,GARG,3
FALCATED DUCK,FADU,5
STELLER'S EIDER,STEI,3
KING EIDER,KIEI,20
COMMON EIDER,COEI,4
SMEW,SMEW,3
WHITE-WINGED DOVE,WWDO,16
YELLOW-BILLED CUCKOO,YBCU,13
BLACK-BILLED CUCKOO,BBCU,4
RUBY-THROATED HUMMINGBIRD,RTHU,1
COSTA'S HUMMINGBIRD,COHU,17
ALLEN'S HUMMINGBIRD,ALHU,2
BROAD-TAILED HUMMINGBIRD,BTHU,1
PURPLE GALLINULE,PUGA,2
YELLOW RAIL,YERA,3
COMMON CRANE,COCR,2
EURASIAN DOTTEREL,EUDO,4
COMMON RINGED PLOVER,CRPL,1
PIPING PLOVER,PIPL,1
LESSER SAND-PLOVER,LRSP,5
WILSON'S PLOVER,WIPL,2
MOUNTAIN PLOVER,MOPL,7
UPLAND SANDPIPER,UPSA,14
BRISTLE-THIGHED CURLEW,BTCU,6
CURLEW SANDPIPER,CUSA,13
TEMMINCK'S STINT,TEST,1
RED-NECKED STINT,RNST,9
LITTLE STINT,LIST,3
WHITE-RUMPED SANDPIPER,WRSA,13
JACK SNIPE,JASN,1
GRAY-TAILED TATTLER,GTTA,1
SPOTTED REDSHANK,SPRE,1
WOOD SANDPIPER,WOSA,1
THICK-BILLED MURRE,TBMU,27
LONG-BILLED MURRELET,LBMU,11
KITTLITZ'S MURRELET,KIMU,1
SCRIPPS' MURRELET,SCMU,21
GUADALUPE MURRELET,GUMU,12
LEAST AUKLET,LEAU,1
CRESTED AUKLET,CRAU,1
SWALLOW-TAILED GULL,STGU,1
RED-LEGGED KITTIWAKE,RLKI,13
IVORY GULL,IVGU,2
BLACK-HEADED GULL,BHGU,26
LITTLE GULL,LIGU,8
ROSS' GULL,ROGU,3
LAUGHING GULL,LAGU,12
BLACK-TAILED GULL,BTGU,8
SLATY-BACKED GULL,SBAG,34
GREAT BLACK-BACKED GULL,GBBG,1
LEAST TERN,LETE,8
RED-BILLED TROPICBIRD,RBTR,1
ARCTIC LOON,ARLO,6
WHITE-CAPPED ALBATROSS,WCAL,2
WILSON'S STORM-PETREL,WISP,10
ASHY STORM-PETREL,ASSP,3
NORTHERN GIANT-PETREL,NOGP,1
PROVIDENCE PETREL,PRPE,1
HAWAIIAN PETREL,HAPE,5
COOK'S PETREL,COPE,1
WEDGE-TAILED SHEARWATER,WTSH,3
GREAT SHEARWATER,GRSH,11
MAGNIFICENT FRIGATEBIRD,MAFR,2
NAZCA BOOBY,NABO,6
BLUE-FOOTED BOOBY,BFBO,2
RED-FOOTED BOOBY,RFBO,4
SNOWY EGRET,SNEG,56
LITTLE BLUE HERON,LBHE,6
CATTLE EGRET,CAEG,6
YELLOW-CROWNED NIGHT-HERON,YCNH,2
WHITE IBIS,WHIB,1
GLOSSY IBIS,GLIB,1
CALIFORNIA CONDOR,CACO,2
WHITE-TAILED KITE,WTKI,5
ZONE-TAILED HAWK,ZTHA,1
YELLOW-BELLIED SAPSUCKER,YBSA,23
CRESTED CARACARA,CRCA,4
EURASIAN KESTREL,EUKE,1
EURASIAN HOBBY,EUHO,2
DUSKY-CAPPED FLYCATCHER,DCFL,1
VARIEGATED FLYCATCHER,VAFL,1
SCISSOR-TAILED FLYCATCHER,STFL,20
FORK-TAILED FLYCATCHER,FTFL,1
GREATER PEWEE,GRPE,1
EASTERN WOOD-PEWEE,EAWP,2
YELLOW-BELLIED FLYCATCHER,YBFL,1
ALDER FLYCATCHER,ALFL,5
EASTERN PHOEBE,EAPH,23
VERMILION FLYCATCHER,VEFL,8
WHITE-EYED VIREO,WEVI,1
BELL'S VIREO,BEVI,4
YELLOW-THROATED VIREO,YTVI,3
BLUE-HEADED VIREO,BHVI,7
PHILADELPHIA VIREO,PHVI,7
PINYON JAY,PIJA,3
WOODHOUSE'S SCRUB-JAY,WOSJ,1
EURASIAN SKYLARK,EUSK,5
PHAINOPEPLA,PHAI,3
WINTER WREN,WIWR,2
BROWN THRASHER,BRTH,24
DUSKY THRUSH,DUTH,1
REDWING,REDW,1
RED-FLANKED BLUETAIL,RFBL,3
NORTHERN WHEATEAR,NOWH,5
SIBERIAN ACCENTOR,SIAC,3
EASTERN YELLOW WAGTAIL,EYWA,2
GRAY WAGTAIL,GRAW,1
WHITE WAGTAIL,WHWA,16
RED-THROATED PIPIT,RTPI,2
BRAMBLING,BRAM,30
LAWRENCE'S GOLDFINCH,LAGO,3
CHESTNUT-COLLARED LONGSPUR,CCLO,9
SMITH'S LONGSPUR,SMLO,3
THICK-BILLED LONGSPUR,TBLO,1
MCKAY'S BUNTING,MKBU,4
LITTLE BUNTING,LIBU,2
RUSTIC BUNTING,RUBU,7
LARK BUNTING,LARB,15
FIELD SPARROW,FISP,1
LECONTE'S SPARROW,LESP,8
NELSON'S SPARROW,NESP,1
EASTERN MEADOWLARK,EAME,1
ORCHARD ORIOLE,OROR,27
HOODED ORIOLE,HOOR,15
BALTIMORE ORIOLE,BAOR,10
SCOTT'S ORIOLE,SCOR,2
COMMON GRACKLE,COGR,37
GREAT-TAILED GRACKLE,GTGR,20
OVENBIRD,OVEN,37
GOLDEN-WINGED WARBLER,GWWA,2
BLUE-WINGED WARBLER,BWWA,4
PROTHONOTARY WARBLER,PROW,6
LUCY'S WARBLER,LUWA,2
MOURNING WARBLER,MOWA,2
KENTUCKY WARBLER,KEWA,1
HOODED WARBLER,HOWA,10
CAPE MAY WARBLER,CMWA,4
NORTHERN PARULA,NOPA,23
MAGNOLIA WARBLER,MAWA,37
BAY-BREASTED WARBLER,BBWA,5
BLACKBURNIAN WARBLER,BLBW,12
BLACKPOLL WARBLER,BLPW,45
BLACK-THROATED BLUE WARBLER,BTBW,22
YELLOW-THROATED WARBLER,YTWA,3
PRAIRIE WARBLER,PRAW,3
BLACK-THROATED GREEN WARBLER,BTNW,4
CANADA WARBLER,CAWA,4
PAINTED REDSTART,PARE,1
SUMMER TANAGER,SUTA,11
SCARLET TANAGER,SCTA,1
BLUE GROSBEAK,BLGR,5
INDIGO BUNTING,INBU,50
PAINTED BUNTING,PABU,8
DICKCISSEL,DICK,18
EASTERN BLUEBIRD,EABL,1
SONG THRUSH,SOTH,1
CASSIN'S SPARROW,CASP,1
GREAT KNOT,GRKN,1
LESSER NIGHTHAWK,LENI,1
MARSH SANDPIPER,MASA,1
SIBERIAN PIPIT,SIPI,1
